"Notes"	"State of Residence"	"State of Residence Code"	"Year"	"Year Code"	"Age of Mother 9"	"Age of Mother 9 Code"	"Births"	"Female Population"	"Fertility Rate"
	"Mississippi"	"28"	"2020"	"2020"	"20-24 years"	"20-24"	9956	98867	100.70
	"Mississippi"	"28"	"2020"	"2020"	"25-29 years"	"25-29"	11356	100298	113.22
	"Mississippi"	"28"	"2020"	"2020"	"30-34 years"	"30-34"	7661	95906	79.88
	"Mississippi"	"28"	"2020"	"2020"	"35-39 years"	"35-39"	3103	95747	32.41
	"Mississippi"	"28"	"2020"	"2020"	"40-44 years"	"40-44"	618	93057	6.64
	"Mississippi"	"28"	"2020"	"2020"	"45-49 years"	"45-49"	23	Not Available	Not Available
	"Mississippi"	"28"	"2021"	"2021"	"Under 15 years"	"15"	52	Not Available	Not Available
	"Mississippi"	"28"	"2021"	"2021"	"15-19 years"	"15-19"	2545	99415	25.60
	"Mississippi"	"28"	"2021"	"2021"	"20-24 years"	"20-24"	9633	97974	98.32
	"Mississippi"	"28"	"2021"	"2021"	"25-29 years"	"25-29"	11153	95560	116.71
	"Mississippi"	"28"	"2021"	"2021"	"30-34 years"	"30-34"	7884	96871	81.39
	"Mississippi"	"28"	"2021"	"2021"	"35-39 years"	"35-39"	3178	94497	33.63
	"Mississippi"	"28"	"2021"	"2021"	"40-44 years"	"40-44"	681	94561	7.20
	"Mississippi"	"28"	"2021"	"2021"	"45-49 years"	"45-49"	30	Not Available	Not Available
	"Mississippi"	"28"	"2022"	"2022"	"Under 15 years"	"15"	53	Not Available	Not Available
	"Mississippi"	"28"	"2022"	"2022"	"15-19 years"	"15-19"	2683	101499	26.43
	"Mississippi"	"28"	"2022"	"2022"	"20-24 years"	"20-24"	9426	104038	90.60
	"Mississippi"	"28"	"2022"	"2022"	"25-29 years"	"25-29"	10708	92289	116.03
	"Mississippi"	"28"	"2022"	"2022"	"30-34 years"	"30-34"	7850	96901	81.01
	"Mississippi"	"28"	"2022"	"2022"	"35-39 years"	"35-39"	3275	92261	35.50
	"Mississippi"	"28"	"2022"	"2022"	"40-44 years"	"40-44"	647	94271	6.86
	"Mississippi"	"28"	"2022"	"2022"	"45-49 years"	"45-49"	32	Not Available	Not Available
	"Missouri"	"29"	"2016"	"2016"	"Under 15 years"	"15"	35	Not Available	Not Available
	"Missouri"	"29"	"2016"	"2016"	"15-19 years"	"15-19"	4505	192808	23.37
	"Missouri"	"29"	"2016"	"2016"	"20-24 years"	"20-24"	17596	205567	85.60
	"Missouri"	"29"	"2016"	"2016"	"25-29 years"	"25-29"	23381	205478	113.79
	"Missouri"	"29"	"2016"	"2016"	"30-34 years"	"30-34"	19549	200164	97.66
	"Missouri"	"29"	"2016"	"2016"	"35-39 years"	"35-39"	8135	190573	42.69
	"Missouri"	"29"	"2016"	"2016"	"40-44 years"	"40-44"	1422	176745	8.05
	"Missouri"	"29"	"2016"	"2016"	"45-49 years"	"45-49"	78	Not Available	Not Available
	"Missouri"	"29"	"2017"	"2017"	"Under 15 years"	"15"	21	Not Available	Not Available
	"Missouri"	"29"	"2017"	"2017"	"15-19 years"	"15-19"	4301	191316	22.48
	"Missouri"	"29"	"2017"	"2017"	"20-24 years"	"20-24"	16640	202180	82.30
	"Missouri"	"29"	"2017"	"2017"	"25-29 years"	"25-29"	23047	209567	109.97
	"Missouri"	"29"	"2017"	"2017"	"30-34 years"	"30-34"	19260	199156	96.71
	"Missouri"	"29"	"2017"	"2017"	"35-39 years"	"35-39"	8259	194232	42.52
	"Missouri"	"29"	"2017"	"2017"	"40-44 years"	"40-44"	1421	175324	8.10
	"Missouri"	"29"	"2017"	"2017"	"45-49 years"	"45-49"	83	Not Available	Not Available
	"Missouri"	"29"	"2018"	"2018"	"Under 15 years"	"15"	31	Not Available	Not Available
	"Missouri"	"29"	"2018"	"2018"	"15-19 years"	"15-19"	4109	190464	21.57
	"Missouri"	"29"	"2018"	"2018"	"20-24 years"	"20-24"	16400	200189	81.92
	"Missouri"	"29"	"2018"	"2018"	"25-29 years"	"25-29"	23233	210856	110.18
	"Missouri"	"29"	"2018"	"2018"	"30-34 years"	"30-34"	19395	198474	97.72
	"Missouri"	"29"	"2018"	"2018"	"35-39 years"	"35-39"	8458	197818	42.76
	"Missouri"	"29"	"2018"	"2018"	"40-44 years"	"40-44"	1555	176375	8.82
	"Missouri"	"29"	"2018"	"2018"	"45-49 years"	"45-49"	83	Not Available	Not Available
	"Missouri"	"29"	"2019"	"2019"	"Under 15 years"	"15"	41	Not Available	Not Available
	"Missouri"	"29"	"2019"	"2019"	"15-19 years"	"15-19"	3851	189903	20.28
	"Missouri"	"29"	"2019"	"2019"	"20-24 years"	"20-24"	15795	198418	79.60
	"Missouri"	"29"	"2019"	"2019"	"25-29 years"	"25-29"	22829	209922	108.75
	"Missouri"	"29"	"2019"	"2019"	"30-34 years"	"30-34"	19444	200070	97.19
	"Missouri"	"29"	"2019"	"2019"	"35-39 years"	"35-39"	8573	199478	42.98
	"Missouri"	"29"	"2019"	"2019"	"40-44 years"	"40-44"	1510	179244	8.42
	"Missouri"	"29"	"2019"	"2019"	"45-49 years"	"45-49"	79	Not Available	Not Available
	"Missouri"	"29"	"2020"	"2020"	"Under 15 years"	"15"	35	Not Available	Not Available
	"Missouri"	"29"	"2020"	"2020"	"15-19 years"	"15-19"	3556	189387	18.78
	"Missouri"	"29"	"2020"	"2020"	"20-24 years"	"20-24"	14920	198697	75.09
	"Missouri"	"29"	"2020"	"2020"	"25-29 years"	"25-29"	21796	207145	105.22
	"Missouri"	"29"	"2020"	"2020"	"30-34 years"	"30-34"	19003	202382	93.90
	"Missouri"	"29"	"2020"	"2020"	"35-39 years"	"35-39"	8315	199568	41.66
	"Missouri"	"29"	"2020"	"2020"	"40-44 years"	"40-44"	1583	183867	8.61
	"Missouri"	"29"	"2020"	"2020"	"45-49 years"	"45-49"	72	Not Available	Not Available
	"Missouri"	"29"	"2021"	"2021"	"Under 15 years"	"15"	38	Not Available	Not Available
	"Missouri"	"29"	"2021"	"2021"	"15-19 years"	"15-19"	3312	194146	17.06
	"Missouri"	"29"	"2021"	"2021"	"20-24 years"	"20-24"	14392	198053	72.67
	"Missouri"	"29"	"2021"	"2021"	"25-29 years"	"25-29"	21539	200131	107.62
	"Missouri"	"29"	"2021"	"2021"	"30-34 years"	"30-34"	19657	205175	95.81
	"Missouri"	"29"	"2021"	"2021"	"35-39 years"	"35-39"	8768	200980	43.63
	"Missouri"	"29"	"2021"	"2021"	"40-44 years"	"40-44"	1654	190350	8.69
	"Missouri"	"29"	"2021"	"2021"	"45-49 years"	"45-49"	85	Not Available	Not Available
	"Missouri"	"29"	"2022"	"2022"	"Under 15 years"	"15"	40	Not Available	Not Available
	"Missouri"	"29"	"2022"	"2022"	"15-19 years"	"15-19"	3270	194045	16.85
	"Missouri"	"29"	"2022"	"2022"	"20-24 years"	"20-24"	14234	207900	68.47
	"Missouri"	"29"	"2022"	"2022"	"25-29 years"	"25-29"	21058	195483	107.72
	"Missouri"	"29"	"2022"	"2022"	"30-34 years"	"30-34"	19712	206147	95.62
	"Missouri"	"29"	"2022"	"2022"	"35-39 years"	"35-39"	8917	198596	44.90
	"Missouri"	"29"	"2022"	"2022"	"40-44 years"	"40-44"	1659	193345	8.58
	"Missouri"	"29"	"2022"	"2022"	"45-49 years"	"45-49"	91	Not Available	Not Available
	"Montana"	"30"	"2016"	"2016"	"15-19 years"	"15-19"	720	30382	23.70
	"Montana"	"30"	"2016"	"2016"	"20-24 years"	"20-24"	2707	34496	78.47
	"Montana"	"30"	"2016"	"2016"	"25-29 years"	"25-29"	3860	32539	118.63
	"Montana"	"30"	"2016"	"2016"	"30-34 years"	"30-34"	3250	32425	100.23
	"Montana"	"30"	"2016"	"2016"	"35-39 years"	"35-39"	1434	30776	46.59
	"Montana"	"30"	"2016"	"2016"	"40-44 years"	"40-44"	285	27360	10.42
	"Montana"	"30"	"2016"	"2016"	"45-49 years"	"45-49"	17	Not Available	Not Available
	"Montana"	"30"	"2017"	"2017"	"15-19 years"	"15-19"	645	30363	21.24
	"Montana"	"30"	"2017"	"2017"	"20-24 years"	"20-24"	2524	34367	73.44
	"Montana"	"30"	"2017"	"2017"	"25-29 years"	"25-29"	3626	33372	108.65
	"Montana"	"30"	"2017"	"2017"	"30-34 years"	"30-34"	3254	32191	101.08
	"Montana"	"30"	"2017"	"2017"	"35-39 years"	"35-39"	1452	31839	45.60
	"Montana"	"30"	"2017"	"2017"	"40-44 years"	"40-44"	267	27957	9.55
	"Montana"	"30"	"2017"	"2017"	"45-49 years"	"45-49"	22	Not Available	Not Available
	"Montana"	"30"	"2018"	"2018"	"15-19 years"	"15-19"	531	30787	17.25
	"Montana"	"30"	"2018"	"2018"	"20-24 years"	"20-24"	2410	34287	70.29
	"Montana"	"30"	"2018"	"2018"	"25-29 years"	"25-29"	3633	34248	106.08
	"Montana"	"30"	"2018"	"2018"	"30-34 years"	"30-34"	3237	32408	99.88
	"Montana"	"30"	"2018"	"2018"	"35-39 years"	"35-39"	1442	32677	44.13
	"Montana"	"30"	"2018"	"2018"	"40-44 years"	"40-44"	242	28922	8.37
	"Montana"	"30"	"2018"	"2018"	"45-49 years"	"45-49"	16	Not Available	Not Available
	"Montana"	"30"	"2019"	"2019"	"15-19 years"	"15-19"	502	30795	16.30
	"Montana"	"30"	"2019"	"2019"	"20-24 years"	"20-24"	2243	33961	66.05
	"Montana"	"30"	"2019"	"2019"	"25-29 years"	"25-29"	3507	34443	101.82
	"Montana"	"30"	"2019"	"2019"	"30-34 years"	"30-34"	3038	32686	92.94
	"Montana"	"30"	"2019"	"2019"	"35-39 years"	"35-39"	1495	33384	44.78
	"Montana"	"30"	"2019"	"2019"	"40-44 years"	"40-44"	267	29922	8.92
	"Montana"	"30"	"2019"	"2019"	"45-49 years"	"45-49"	23	Not Available	Not Available
	"Montana"	"30"	"2020"	"2020"	"15-19 years"	"15-19"	411	31200	13.17
	"Montana"	"30"	"2020"	"2020"	"20-24 years"	"20-24"	2108	34060	61.89
	"Montana"	"30"	"2020"	"2020"	"25-29 years"	"25-29"	3270	34538	94.68
	"Montana"	"30"	"2020"	"2020"	"30-34 years"	"30-34"	3186	33533	95.01
	"Montana"	"30"	"2020"	"2020"	"35-39 years"	"35-39"	1513	34041	44.45
	"Montana"	"30"	"2020"	"2020"	"40-44 years"	"40-44"	287	31360	9.15
	"Montana"	"30"	"2020"	"2020"	"45-49 years"	"45-49"	12	Not Available	Not Available
	"Montana"	"30"	"2021"	"2021"	"15-19 years"	"15-19"	442	32607	13.56
	"Montana"	"30"	"2021"	"2021"	"20-24 years"	"20-24"	2044	34633	59.02
	"Montana"	"30"	"2021"	"2021"	"25-29 years"	"25-29"	3452	34574	99.84
	"Montana"	"30"	"2021"	"2021"	"30-34 years"	"30-34"	3406	34991	97.34
	"Montana"	"30"	"2021"	"2021"	"35-39 years"	"35-39"	1567	35108	44.63
	"Montana"	"30"	"2021"	"2021"	"40-44 years"	"40-44"	296	33182	8.92
	"Montana"	"30"	"2021"	"2021"	"45-49 years"	"45-49"	16	Not Available	Not Available
	"Montana"	"30"	"2022"	"2022"	"15-19 years"	"15-19"	401	32845	12.21
	"Montana"	"30"	"2022"	"2022"	"20-24 years"	"20-24"	2046	36800	55.60
	"Montana"	"30"	"2022"	"2022"	"25-29 years"	"25-29"	3352	34481	97.21
	"Montana"	"30"	"2022"	"2022"	"30-34 years"	"30-34"	3412	36113	94.48
	"Montana"	"30"	"2022"	"2022"	"35-39 years"	"35-39"	1609	35235	45.66
	"Montana"	"30"	"2022"	"2022"	"40-44 years"	"40-44"	330	34411	9.59
	"Montana"	"30"	"2022"	"2022"	"45-49 years"	"45-49"	20	Not Available	Not Available
	"Nebraska"	"31"	"2016"	"2016"	"Under 15 years"	"15"	13	Not Available	Not Available
	"Nebraska"	"31"	"2016"	"2016"	"15-19 years"	"15-19"	1213	63529	19.09
	"Nebraska"	"31"	"2016"	"2016"	"20-24 years"	"20-24"	5034	68342	73.66
	"Nebraska"	"31"	"2016"	"2016"	"25-29 years"	"25-29"	8681	59460	146.00
	"Nebraska"	"31"	"2016"	"2016"	"30-34 years"	"30-34"	7838	63455	123.52
	"Nebraska"	"31"	"2016"	"2016"	"35-39 years"	"35-39"	3224	59799	53.91
	"Nebraska"	"31"	"2016"	"2016"	"40-44 years"	"40-44"	553	53578	10.32
	"Nebraska"	"31"	"2016"	"2016"	"45-49 years"	"45-49"	32	Not Available	Not Available
	"Nebraska"	"31"	"2017"	"2017"	"15-19 years"	"15-19"	1158	63964	18.10
	"Nebraska"	"31"	"2017"	"2017"	"20-24 years"	"20-24"	4912	67285	73.00
	"Nebraska"	"31"	"2017"	"2017"	"25-29 years"	"25-29"	8433	60935	138.39
	"Nebraska"	"31"	"2017"	"2017"	"30-34 years"	"30-34"	7575	62755	120.71
	"Nebraska"	"31"	"2017"	"2017"	"35-39 years"	"35-39"	3179	61458	51.73
	"Nebraska"	"31"	"2017"	"2017"	"40-44 years"	"40-44"	518	53775	9.63
	"Nebraska"	"31"	"2017"	"2017"	"45-49 years"	"45-49"	35	Not Available	Not Available
	"Nebraska"	"31"	"2018"	"2018"	"15-19 years"	"15-19"	1073	64349	16.67
	"Nebraska"	"31"	"2018"	"2018"	"20-24 years"	"20-24"	4585	67061	68.37
	"Nebraska"	"31"	"2018"	"2018"	"25-29 years"	"25-29"	8263	61847	133.60
	"Nebraska"	"31"	"2018"	"2018"	"30-34 years"	"30-34"	7662	61911	123.76
	"Nebraska"	"31"	"2018"	"2018"	"35-39 years"	"35-39"	3300	62737	52.60
	"Nebraska"	"31"	"2018"	"2018"	"40-44 years"	"40-44"	563	54625	10.31
	"Nebraska"	"31"	"2018"	"2018"	"45-49 years"	"45-49"	35	Not Available	Not Available
	"Nebraska"	"31"	"2019"	"2019"	"Under 15 years"	"15"	18	Not Available	Not Available
	"Nebraska"	"31"	"2019"	"2019"	"15-19 years"	"15-19"	993	64915	15.30
	"Nebraska"	"31"	"2019"	"2019"	"20-24 years"	"20-24"	4477	65923	67.91
	"Nebraska"	"31"	"2019"	"2019"	"25-29 years"	"25-29"	8039	62704	128.21
	"Nebraska"	"31"	"2019"	"2019"	"30-34 years"	"30-34"	7354	60988	120.58
	"Nebraska"	"31"	"2019"	"2019"	"35-39 years"	"35-39"	3204	63636	50.35
	"Nebraska"	"31"	"2019"	"2019"	"40-44 years"	"40-44"	625	55625	11.24
	"Nebraska"	"31"	"2019"	"2019"	"45-49 years"	"45-49"	38	Not Available	Not Available
	"Nebraska"	"31"	"2020"	"2020"	"Under 15 years"	"15"	13	Not Available	Not Available
	"Nebraska"	"31"	"2020"	"2020"	"15-19 years"	"15-19"	984	65082	15.12
	"Nebraska"	"31"	"2020"	"2020"	"20-24 years"	"20-24"	4243	66094	64.20
	"Nebraska"	"31"	"2020"	"2020"	"25-29 years"	"25-29"	7711	63135	122.14
	"Nebraska"	"31"	"2020"	"2020"	"30-34 years"	"30-34"	7395	60486	122.26
	"Nebraska"	"31"	"2020"	"2020"	"35-39 years"	"35-39"	3319	63604	52.18
	"Nebraska"	"31"	"2020"	"2020"	"40-44 years"	"40-44"	594	57115	10.40
	"Nebraska"	"31"	"2020"	"2020"	"45-49 years"	"45-49"	31	Not Available	Not Available
	"Nebraska"	"31"	"2021"	"2021"	"15-19 years"	"15-19"	944	67606	13.96
	"Nebraska"	"31"	"2021"	"2021"	"20-24 years"	"20-24"	4245	66848	63.50
	"Nebraska"	"31"	"2021"	"2021"	"25-29 years"	"25-29"	7823	62238	125.69
	"Nebraska"	"31"	"2021"	"2021"	"30-34 years"	"30-34"	7574	60877	124.41
	"Nebraska"	"31"	"2021"	"2021"	"35-39 years"	"35-39"	3371	64397	52.35
	"Nebraska"	"31"	"2021"	"2021"	"40-44 years"	"40-44"	620	60060	10.32
	"Nebraska"	"31"	"2021"	"2021"	"45-49 years"	"45-49"	26	Not Available	Not Available
	"Nebraska"	"31"	"2022"	"2022"	"Under 15 years"	"15"	14	Not Available	Not Available
	"Nebraska"	"31"	"2022"	"2022"	"15-19 years"	"15-19"	937	66690	14.05
	"Nebraska"	"31"	"2022"	"2022"	"20-24 years"	"20-24"	4131	69868	59.13
	"Nebraska"	"31"	"2022"	"2022"	"25-29 years"	"25-29"	7664	61079	125.48
	"Nebraska"	"31"	"2022"	"2022"	"30-34 years"	"30-34"	7503	60764	123.48
	"Nebraska"	"31"	"2022"	"2022"	"35-39 years"	"35-39"	3359	63122	53.21
	"Nebraska"	"31"	"2022"	"2022"	"40-44 years"	"40-44"	690	61334	11.25
	"Nebraska"	"31"	"2022"	"2022"	"45-49 years"	"45-49"	43	Not Available	Not Available
	"Nevada"	"32"	"2016"	"2016"	"Under 15 years"	"15"	16	Not Available	Not Available
	"Nevada"	"32"	"2016"	"2016"	"15-19 years"	"15-19"	2078	85963	24.17
	"Nevada"	"32"	"2016"	"2016"	"20-24 years"	"20-24"	8053	91136	88.36
	"Nevada"	"32"	"2016"	"2016"	"25-29 years"	"25-29"	10783	107959	99.88
	"Nevada"	"32"	"2016"	"2016"	"30-34 years"	"30-34"	9368	102961	90.99
	"Nevada"	"32"	"2016"	"2016"	"35-39 years"	"35-39"	4802	97760	49.12
	"Nevada"	"32"	"2016"	"2016"	"40-44 years"	"40-44"	1094	93866	11.65
	"Nevada"	"32"	"2016"	"2016"	"45-49 years"	"45-49"	61	Not Available	Not Available
	"Nevada"	"32"	"2017"	"2017"	"Under 15 years"	"15"	22	Not Available	Not Available
	"Nevada"	"32"	"2017"	"2017"	"15-19 years"	"15-19"	1906	86909	21.93
	"Nevada"	"32"	"2017"	"2017"	"20-24 years"	"20-24"	7854	89416	87.84
	"Nevada"	"32"	"2017"	"2017"	"25-29 years"	"25-29"	10687	111106	96.19
	"Nevada"	"32"	"2017"	"2017"	"30-34 years"	"30-34"	9258	105156	88.04
	"Nevada"	"32"	"2017"	"2017"	"35-39 years"	"35-39"	4813	101697	47.33
	"Nevada"	"32"	"2017"	"2017"	"40-44 years"	"40-44"	1126	94865	11.87
	"Nevada"	"32"	"2017"	"2017"	"45-49 years"	"45-49"	84	Not Available	Not Available
	"Nevada"	"32"	"2018"	"2018"	"Under 15 years"	"15"	14	Not Available	Not Available
	"Nevada"	"32"	"2018"	"2018"	"15-19 years"	"15-19"	1800	87691	20.53
	"Nevada"	"32"	"2018"	"2018"	"20-24 years"	"20-24"	7611	88863	85.65
	"Nevada"	"32"	"2018"	"2018"	"25-29 years"	"25-29"	10570	111914	94.45
	"Nevada"	"32"	"2018"	"2018"	"30-34 years"	"30-34"	9296	106176	87.55
	"Nevada"	"32"	"2018"	"2018"	"35-39 years"	"35-39"	5132	104266	49.22
	"Nevada"	"32"	"2018"	"2018"	"40-44 years"	"40-44"	1158	95382	12.14
	"Nevada"	"32"	"2018"	"2018"	"45-49 years"	"45-49"	92	Not Available	Not Available
	"Nevada"	"32"	"2019"	"2019"	"Under 15 years"	"15"	13	Not Available	Not Available
	"Nevada"	"32"	"2019"	"2019"	"15-19 years"	"15-19"	1668	88483	18.85
	"Nevada"	"32"	"2019"	"2019"	"20-24 years"	"20-24"	7060	88970	79.35
	"Nevada"	"32"	"2019"	"2019"	"25-29 years"	"25-29"	10614	112322	94.50
	"Nevada"	"32"	"2019"	"2019"	"30-34 years"	"30-34"	9360	108890	85.96
	"Nevada"	"32"	"2019"	"2019"	"35-39 years"	"35-39"	5113	106216	48.14
	"Nevada"	"32"	"2019"	"2019"	"40-44 years"	"40-44"	1134	96635	11.73
	"Nevada"	"32"	"2019"	"2019"	"45-49 years"	"45-49"	94	Not Available	Not Available
	"Nevada"	"32"	"2019"	"2019"	"50 years and over"	"50+"	16	Not Available	Not Available
	"Nevada"	"32"	"2020"	"2020"	"15-19 years"	"15-19"	1506	89669	16.80
	"Nevada"	"32"	"2020"	"2020"	"20-24 years"	"20-24"	6658	90567	73.51
	"Nevada"	"32"	"2020"	"2020"	"25-29 years"	"25-29"	9989	112457	88.83
	"Nevada"	"32"	"2020"	"2020"	"30-34 years"	"30-34"	9288	113337	81.95
	"Nevada"	"32"	"2020"	"2020"	"35-39 years"	"35-39"	4994	108374	46.08
	"Nevada"	"32"	"2020"	"2020"	"40-44 years"	"40-44"	1128	99416	11.35
	"Nevada"	"32"	"2020"	"2020"	"45-49 years"	"45-49"	74	Not Available	Not Available
	"Nevada"	"32"	"2021"	"2021"	"15-19 years"	"15-19"	1384	91940	15.05
	"Nevada"	"32"	"2021"	"2021"	"20-24 years"	"20-24"	6311	89610	70.43
	"Nevada"	"32"	"2021"	"2021"	"25-29 years"	"25-29"	10083	108068	93.30
	"Nevada"	"32"	"2021"	"2021"	"30-34 years"	"30-34"	9546	114839	83.13
	"Nevada"	"32"	"2021"	"2021"	"35-39 years"	"35-39"	5111	108915	46.93
	"Nevada"	"32"	"2021"	"2021"	"40-44 years"	"40-44"	1154	101578	11.36
	"Nevada"	"32"	"2021"	"2021"	"45-49 years"	"45-49"	72	Not Available	Not Available
	"Nevada"	"32"	"2021"	"2021"	"50 years and over"	"50+"	16	Not Available	Not Available
	"Nevada"	"32"	"2022"	"2022"	"Under 15 years"	"15"	14	Not Available	Not Available
	"Nevada"	"32"	"2022"	"2022"	"15-19 years"	"15-19"	1304	93069	14.01
	"Nevada"	"32"	"2022"	"2022"	"20-24 years"	"20-24"	6051	95397	63.43
	"Nevada"	"32"	"2022"	"2022"	"25-29 years"	"25-29"	9670	106739	90.59
	"Nevada"	"32"	"2022"	"2022"	"30-34 years"	"30-34"	9615	116605	82.46
	"Nevada"	"32"	"2022"	"2022"	"35-39 years"	"35-39"	5275	109171	48.32
	"Nevada"	"32"	"2022"	"2022"	"40-44 years"	"40-44"	1178	103314	11.40
	"Nevada"	"32"	"2022"	"2022"	"45-49 years"	"45-49"	72	Not Available	Not Available
	"Nevada"	"32"	"2022"	"2022"	"50 years and over"	"50+"	14	Not Available	Not Available
	"New Hampshire"	"33"	"2016"	"2016"	"15-19 years"	"15-19"	392	42093	9.31
	"New Hampshire"	"33"	"2016"	"2016"	"20-24 years"	"20-24"	1898	44566	42.59
	"New Hampshire"	"33"	"2016"	"2016"	"25-29 years"	"25-29"	3569	39090	91.30
	"New Hampshire"	"33"	"2016"	"2016"	"30-34 years"	"30-34"	4176	38749	107.77
	"New Hampshire"	"33"	"2016"	"2016"	"35-39 years"	"35-39"	1906	37524	50.79
	"New Hampshire"	"33"	"2016"	"2016"	"40-44 years"	"40-44"	305	38854	7.85
	"New Hampshire"	"33"	"2016"	"2016"	"45-49 years"	"45-49"	16	Not Available	Not Available
	"New Hampshire"	"33"	"2017"	"2017"	"15-19 years"	"15-19"	353	41865	8.43
	"New Hampshire"	"33"	"2017"	"2017"	"20-24 years"	"20-24"	1808	44306	40.81
	"New Hampshire"	"33"	"2017"	"2017"	"25-29 years"	"25-29"	3660	39701	92.19
	"New Hampshire"	"33"	"2017"	"2017"	"30-34 years"	"30-34"	4094	39303	104.17
	"New Hampshire"	"33"	"2017"	"2017"	"35-39 years"	"35-39"	1859	38447	48.35
	"New Hampshire"	"33"	"2017"	"2017"	"40-44 years"	"40-44"	316	37724	8.38
	"New Hampshire"	"33"	"2017"	"2017"	"45-49 years"	"45-49"	25	Not Available	Not Available
	"New Hampshire"	"33"	"2018"	"2018"	"15-19 years"	"15-19"	334	41864	7.98
	"New Hampshire"	"33"	"2018"	"2018"	"20-24 years"	"20-24"	1699	43747	38.84
	"New Hampshire"	"33"	"2018"	"2018"	"25-29 years"	"25-29"	3446	40849	84.36
	"New Hampshire"	"33"	"2018"	"2018"	"30-34 years"	"30-34"	4160	40830	101.89
	"New Hampshire"	"33"	"2018"	"2018"	"35-39 years"	"35-39"	1976	39536	49.98
	"New Hampshire"	"33"	"2018"	"2018"	"40-44 years"	"40-44"	346	37672	9.18
	"New Hampshire"	"33"	"2018"	"2018"	"45-49 years"	"45-49"	29	Not Available	Not Available
	"New Hampshire"	"33"	"2019"	"2019"	"15-19 years"	"15-19"	275	41445	6.64
	"New Hampshire"	"33"	"2019"	"2019"	"20-24 years"	"20-24"	1582	42812	36.95
	"New Hampshire"	"33"	"2019"	"2019"	"25-29 years"	"25-29"	3418	41787	81.80
	"New Hampshire"	"33"	"2019"	"2019"	"30-34 years"	"30-34"	4268	41545	102.73
	"New Hampshire"	"33"	"2019"	"2019"	"35-39 years"	"35-39"	1919	40330	47.58
	"New Hampshire"	"33"	"2019"	"2019"	"40-44 years"	"40-44"	346	37809	9.15
	"New Hampshire"	"33"	"2019"	"2019"	"45-49 years"	"45-49"	26	Not Available	Not Available
	"New Hampshire"	"33"	"2020"	"2020"	"15-19 years"	"15-19"	272	41048	6.63
	"New Hampshire"	"33"	"2020"	"2020"	"20-24 years"	"20-24"	1511	42431	35.61
	"New Hampshire"	"33"	"2020"	"2020"	"25-29 years"	"25-29"	3283	41995	78.18
	"New Hampshire"	"33"	"2020"	"2020"	"30-34 years"	"30-34"	4306	42467	101.40
	"New Hampshire"	"33"	"2020"	"2020"	"35-39 years"	"35-39"	2040	41015	49.74
	"New Hampshire"	"33"	"2020"	"2020"	"40-44 years"	"40-44"	360	38342	9.39
	"New Hampshire"	"33"	"2020"	"2020"	"45-49 years"	"45-49"	17	Not Available	Not Available
	"New Hampshire"	"33"	"2021"	"2021"	"15-19 years"	"15-19"	225	41952	5.36
	"New Hampshire"	"33"	"2021"	"2021"	"20-24 years"	"20-24"	1409	42490	33.16
	"New Hampshire"	"33"	"2021"	"2021"	"25-29 years"	"25-29"	3514	41945	83.78
	"New Hampshire"	"33"	"2021"	"2021"	"30-34 years"	"30-34"	4772	43902	108.70
	"New Hampshire"	"33"	"2021"	"2021"	"35-39 years"	"35-39"	2233	42719	52.27
	"New Hampshire"	"33"	"2021"	"2021"	"40-44 years"	"40-44"	436	40069	10.88
	"New Hampshire"	"33"	"2021"	"2021"	"45-49 years"	"45-49"	28	Not Available	Not Available
	"New Hampshire"	"33"	"2022"	"2022"	"15-19 years"	"15-19"	183	39845	4.59
	"New Hampshire"	"33"	"2022"	"2022"	"20-24 years"	"20-24"	1286	42592	30.19
	"New Hampshire"	"33"	"2022"	"2022"	"25-29 years"	"25-29"	3178	41356	76.84
	"New Hampshire"	"33"	"2022"	"2022"	"30-34 years"	"30-34"	4660	44402	104.95
	"New Hampshire"	"33"	"2022"	"2022"	"35-39 years"	"35-39"	2320	43157	53.76
	"New Hampshire"	"33"	"2022"	"2022"	"40-44 years"	"40-44"	417	40682	10.25
	"New Hampshire"	"33"	"2022"	"2022"	"45-49 years"	"45-49"	28	Not Available	Not Available
	"New Jersey"	"34"	"2016"	"2016"	"Under 15 years"	"15"	27	Not Available	Not Available
	"New Jersey"	"34"	"2016"	"2016"	"15-19 years"	"15-19"	3060	277139	11.04
	"New Jersey"	"34"	"2016"	"2016"	"20-24 years"	"20-24"	14124	277504	50.90
	"New Jersey"	"34"	"2016"	"2016"	"25-29 years"	"25-29"	26141	283615	92.17
	"New Jersey"	"34"	"2016"	"2016"	"30-34 years"	"30-34"	34832	290149	120.05
	"New Jersey"	"34"	"2016"	"2016"	"35-39 years"	"35-39"	19769	290815	67.98
	"New Jersey"	"34"	"2016"	"2016"	"40-44 years"	"40-44"	4290	288050	14.89
	"New Jersey"	"34"	"2016"	"2016"	"45-49 years"	"45-49"	368	Not Available	Not Available
	"New Jersey"	"34"	"2016"	"2016"	"50 years and over"	"50+"	36	Not Available	Not Available
	"New Jersey"	"34"	"2017"	"2017"	"Under 15 years"	"15"	27	Not Available	Not Available
	"New Jersey"	"34"	"2017"	"2017"	"15-19 years"	"15-19"	2837	276014	10.28
	"New Jersey"	"34"	"2017"	"2017"	"20-24 years"	"20-24"	13381	279882	47.81
