"Notes"	"State of Residence"	"State of Residence Code"	"Age of Mother 10"	"Age of Mother 10 Code"	"Year"	"Year Code"	"Mother's Education"	"Mother's Education ""Code"	"Births"""
	"Minnesota"	"27"	"40-44 years"	"40-44"	"2018"	"2018"	"Some college credit, but not a ""degree"	"4"	295""
	"Minnesota"	"27"	"40-44 years"	"40-44"	"2018"	"2018"	"Associate degree (AA, ""AS)"	"5"	205""
	"Minnesota"	"27"	"40-44 years"	"40-44"	"2018"	"2018"	"Bachelor's degree (BA, AB, ""BS)"	"6"	494""
	"Minnesota"	"27"	"40-44 years"	"40-44"	"2018"	"2018"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	259""
	"Minnesota"	"27"	"40-44 years"	"40-44"	"2018"	"2018"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, ""JD)"	"8"	125""
	"Minnesota"	"27"	"40-44 years"	"40-44"	"2018"	"2018"	"Unknown or Not ""Stated"	"Unk"	18""
	"Minnesota"	"27"	"40-44 years"	"40-44"	"2019"	"2019"	"8th grade or ""less"	"1"	146""
	"Minnesota"	"27"	"40-44 years"	"40-44"	"2019"	"2019"	"9th through 12th grade with no ""diploma"	"2"	91""
	"Minnesota"	"27"	"40-44 years"	"40-44"	"2019"	"2019"	"High school graduate or GED ""completed"	"3"	218""
	"Minnesota"	"27"	"40-44 years"	"40-44"	"2019"	"2019"	"Some college credit, but not a ""degree"	"4"	278""
	"Minnesota"	"27"	"40-44 years"	"40-44"	"2019"	"2019"	"Associate degree (AA, ""AS)"	"5"	212""
	"Minnesota"	"27"	"40-44 years"	"40-44"	"2019"	"2019"	"Bachelor's degree (BA, AB, ""BS)"	"6"	526""
	"Minnesota"	"27"	"40-44 years"	"40-44"	"2019"	"2019"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	339""
	"Minnesota"	"27"	"40-44 years"	"40-44"	"2019"	"2019"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, ""JD)"	"8"	116""
	"Minnesota"	"27"	"40-44 years"	"40-44"	"2019"	"2019"	"Unknown or Not ""Stated"	"Unk"	16""
	"Minnesota"	"27"	"40-44 years"	"40-44"	"2020"	"2020"	"8th grade or ""less"	"1"	152""
	"Minnesota"	"27"	"40-44 years"	"40-44"	"2020"	"2020"	"9th through 12th grade with no ""diploma"	"2"	94""
	"Minnesota"	"27"	"40-44 years"	"40-44"	"2020"	"2020"	"High school graduate or GED ""completed"	"3"	220""
	"Minnesota"	"27"	"40-44 years"	"40-44"	"2020"	"2020"	"Some college credit, but not a ""degree"	"4"	306""
	"Minnesota"	"27"	"40-44 years"	"40-44"	"2020"	"2020"	"Associate degree (AA, ""AS)"	"5"	241""
	"Minnesota"	"27"	"40-44 years"	"40-44"	"2020"	"2020"	"Bachelor's degree (BA, AB, ""BS)"	"6"	528""
	"Minnesota"	"27"	"40-44 years"	"40-44"	"2020"	"2020"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	329""
	"Minnesota"	"27"	"40-44 years"	"40-44"	"2020"	"2020"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, ""JD)"	"8"	135""
	"Minnesota"	"27"	"40-44 years"	"40-44"	"2020"	"2020"	"Unknown or Not ""Stated"	"Unk"	11""
	"Minnesota"	"27"	"40-44 years"	"40-44"	"2021"	"2021"	"8th grade or ""less"	"1"	142""
	"Minnesota"	"27"	"40-44 years"	"40-44"	"2021"	"2021"	"9th through 12th grade with no ""diploma"	"2"	92""
	"Minnesota"	"27"	"40-44 years"	"40-44"	"2021"	"2021"	"High school graduate or GED ""completed"	"3"	264""
	"Minnesota"	"27"	"40-44 years"	"40-44"	"2021"	"2021"	"Some college credit, but not a ""degree"	"4"	268""
	"Minnesota"	"27"	"40-44 years"	"40-44"	"2021"	"2021"	"Associate degree (AA, ""AS)"	"5"	225""
	"Minnesota"	"27"	"40-44 years"	"40-44"	"2021"	"2021"	"Bachelor's degree (BA, AB, ""BS)"	"6"	563""
	"Minnesota"	"27"	"40-44 years"	"40-44"	"2021"	"2021"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	347""
	"Minnesota"	"27"	"40-44 years"	"40-44"	"2021"	"2021"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, ""JD)"	"8"	150""
	"Minnesota"	"27"	"40-44 years"	"40-44"	"2021"	"2021"	"Unknown or Not ""Stated"	"Unk"	18""
	"Minnesota"	"27"	"40-44 years"	"40-44"	"2022"	"2022"	"8th grade or ""less"	"1"	169""
	"Minnesota"	"27"	"40-44 years"	"40-44"	"2022"	"2022"	"9th through 12th grade with no ""diploma"	"2"	123""
	"Minnesota"	"27"	"40-44 years"	"40-44"	"2022"	"2022"	"High school graduate or GED ""completed"	"3"	275""
	"Minnesota"	"27"	"40-44 years"	"40-44"	"2022"	"2022"	"Some college credit, but not a ""degree"	"4"	314""
	"Minnesota"	"27"	"40-44 years"	"40-44"	"2022"	"2022"	"Associate degree (AA, ""AS)"	"5"	254""
	"Minnesota"	"27"	"40-44 years"	"40-44"	"2022"	"2022"	"Bachelor's degree (BA, AB, ""BS)"	"6"	615""
	"Minnesota"	"27"	"40-44 years"	"40-44"	"2022"	"2022"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	326""
	"Minnesota"	"27"	"40-44 years"	"40-44"	"2022"	"2022"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, ""JD)"	"8"	176""
	"Minnesota"	"27"	"40-44 years"	"40-44"	"2022"	"2022"	"Unknown or Not ""Stated"	"Unk"	42""
	"Minnesota"	"27"	"45-49 years"	"45-49"	"2016"	"2016"	"8th grade or ""less"	"1"	16""
	"Minnesota"	"27"	"45-49 years"	"45-49"	"2016"	"2016"	"9th through 12th grade with no ""diploma"	"2"	12""
	"Minnesota"	"27"	"45-49 years"	"45-49"	"2016"	"2016"	"High school graduate or GED ""completed"	"3"	18""
	"Minnesota"	"27"	"45-49 years"	"45-49"	"2016"	"2016"	"Some college credit, but not a ""degree"	"4"	15""
	"Minnesota"	"27"	"45-49 years"	"45-49"	"2016"	"2016"	"Associate degree (AA, ""AS)"	"5"	12""
	"Minnesota"	"27"	"45-49 years"	"45-49"	"2016"	"2016"	"Bachelor's degree (BA, AB, ""BS)"	"6"	34""
	"Minnesota"	"27"	"45-49 years"	"45-49"	"2016"	"2016"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	24""
	"Minnesota"	"27"	"45-49 years"	"45-49"	"2017"	"2017"	"8th grade or ""less"	"1"	19""
	"Minnesota"	"27"	"45-49 years"	"45-49"	"2017"	"2017"	"9th through 12th grade with no ""diploma"	"2"	16""
	"Minnesota"	"27"	"45-49 years"	"45-49"	"2017"	"2017"	"High school graduate or GED ""completed"	"3"	18""
	"Minnesota"	"27"	"45-49 years"	"45-49"	"2017"	"2017"	"Some college credit, but not a ""degree"	"4"	14""
	"Minnesota"	"27"	"45-49 years"	"45-49"	"2017"	"2017"	"Associate degree (AA, ""AS)"	"5"	11""
	"Minnesota"	"27"	"45-49 years"	"45-49"	"2017"	"2017"	"Bachelor's degree (BA, AB, ""BS)"	"6"	41""
	"Minnesota"	"27"	"45-49 years"	"45-49"	"2017"	"2017"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, ""JD)"	"8"	10""
	"Minnesota"	"27"	"45-49 years"	"45-49"	"2018"	"2018"	"8th grade or ""less"	"1"	20""
	"Minnesota"	"27"	"45-49 years"	"45-49"	"2018"	"2018"	"High school graduate or GED ""completed"	"3"	15""
	"Minnesota"	"27"	"45-49 years"	"45-49"	"2018"	"2018"	"Some college credit, but not a ""degree"	"4"	17""
	"Minnesota"	"27"	"45-49 years"	"45-49"	"2018"	"2018"	"Associate degree (AA, ""AS)"	"5"	17""
	"Minnesota"	"27"	"45-49 years"	"45-49"	"2018"	"2018"	"Bachelor's degree (BA, AB, ""BS)"	"6"	36""
	"Minnesota"	"27"	"45-49 years"	"45-49"	"2018"	"2018"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	15""
	"Minnesota"	"27"	"45-49 years"	"45-49"	"2018"	"2018"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, ""JD)"	"8"	17""
	"Minnesota"	"27"	"45-49 years"	"45-49"	"2019"	"2019"	"8th grade or ""less"	"1"	20""
	"Minnesota"	"27"	"45-49 years"	"45-49"	"2019"	"2019"	"High school graduate or GED ""completed"	"3"	33""
	"Minnesota"	"27"	"45-49 years"	"45-49"	"2019"	"2019"	"Some college credit, but not a ""degree"	"4"	18""
	"Minnesota"	"27"	"45-49 years"	"45-49"	"2019"	"2019"	"Associate degree (AA, ""AS)"	"5"	16""
	"Minnesota"	"27"	"45-49 years"	"45-49"	"2019"	"2019"	"Bachelor's degree (BA, AB, ""BS)"	"6"	34""
	"Minnesota"	"27"	"45-49 years"	"45-49"	"2019"	"2019"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	13""
	"Minnesota"	"27"	"45-49 years"	"45-49"	"2019"	"2019"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, ""JD)"	"8"	11""
	"Minnesota"	"27"	"45-49 years"	"45-49"	"2020"	"2020"	"8th grade or ""less"	"1"	13""
	"Minnesota"	"27"	"45-49 years"	"45-49"	"2020"	"2020"	"High school graduate or GED ""completed"	"3"	15""
	"Minnesota"	"27"	"45-49 years"	"45-49"	"2020"	"2020"	"Some college credit, but not a ""degree"	"4"	13""
	"Minnesota"	"27"	"45-49 years"	"45-49"	"2020"	"2020"	"Bachelor's degree (BA, AB, ""BS)"	"6"	33""
	"Minnesota"	"27"	"45-49 years"	"45-49"	"2020"	"2020"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	23""
	"Minnesota"	"27"	"45-49 years"	"45-49"	"2020"	"2020"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, ""JD)"	"8"	12""
	"Minnesota"	"27"	"45-49 years"	"45-49"	"2021"	"2021"	"8th grade or ""less"	"1"	19""
	"Minnesota"	"27"	"45-49 years"	"45-49"	"2021"	"2021"	"High school graduate or GED ""completed"	"3"	16""
	"Minnesota"	"27"	"45-49 years"	"45-49"	"2021"	"2021"	"Associate degree (AA, ""AS)"	"5"	10""
	"Minnesota"	"27"	"45-49 years"	"45-49"	"2021"	"2021"	"Bachelor's degree (BA, AB, ""BS)"	"6"	29""
	"Minnesota"	"27"	"45-49 years"	"45-49"	"2021"	"2021"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	28""
	"Minnesota"	"27"	"45-49 years"	"45-49"	"2021"	"2021"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, ""JD)"	"8"	11""
	"Minnesota"	"27"	"45-49 years"	"45-49"	"2022"	"2022"	"8th grade or ""less"	"1"	26""
	"Minnesota"	"27"	"45-49 years"	"45-49"	"2022"	"2022"	"High school graduate or GED ""completed"	"3"	23""
	"Minnesota"	"27"	"45-49 years"	"45-49"	"2022"	"2022"	"Some college credit, but not a ""degree"	"4"	16""
	"Minnesota"	"27"	"45-49 years"	"45-49"	"2022"	"2022"	"Associate degree (AA, ""AS)"	"5"	17""
	"Minnesota"	"27"	"45-49 years"	"45-49"	"2022"	"2022"	"Bachelor's degree (BA, AB, ""BS)"	"6"	40""
	"Minnesota"	"27"	"45-49 years"	"45-49"	"2022"	"2022"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	26""
	"Mississippi"	"28"	"Under 15 years"	"15-"	"2016"	"2016"	"8th grade or ""less"	"1"	36""
	"Mississippi"	"28"	"Under 15 years"	"15-"	"2016"	"2016"	"9th through 12th grade with no ""diploma"	"2"	15""
	"Mississippi"	"28"	"Under 15 years"	"15-"	"2017"	"2017"	"8th grade or ""less"	"1"	24""
	"Mississippi"	"28"	"Under 15 years"	"15-"	"2017"	"2017"	"9th through 12th grade with no ""diploma"	"2"	14""
	"Mississippi"	"28"	"Under 15 years"	"15-"	"2018"	"2018"	"8th grade or ""less"	"1"	28""
	"Mississippi"	"28"	"Under 15 years"	"15-"	"2018"	"2018"	"9th through 12th grade with no ""diploma"	"2"	19""
	"Mississippi"	"28"	"Under 15 years"	"15-"	"2019"	"2019"	"8th grade or ""less"	"1"	24""
	"Mississippi"	"28"	"Under 15 years"	"15-"	"2019"	"2019"	"9th through 12th grade with no ""diploma"	"2"	18""
	"Mississippi"	"28"	"Under 15 years"	"15-"	"2020"	"2020"	"8th grade or ""less"	"1"	29""
	"Mississippi"	"28"	"Under 15 years"	"15-"	"2020"	"2020"	"9th through 12th grade with no ""diploma"	"2"	16""
	"Mississippi"	"28"	"Under 15 years"	"15-"	"2021"	"2021"	"8th grade or ""less"	"1"	35""
	"Mississippi"	"28"	"Under 15 years"	"15-"	"2021"	"2021"	"9th through 12th grade with no ""diploma"	"2"	17""
	"Mississippi"	"28"	"Under 15 years"	"15-"	"2022"	"2022"	"8th grade or ""less"	"1"	28""
	"Mississippi"	"28"	"Under 15 years"	"15-"	"2022"	"2022"	"9th through 12th grade with no ""diploma"	"2"	25""
	"Mississippi"	"28"	"15 - 17 years"	"15-17"	"2016"	"2016"	"8th grade or ""less"	"1"	72""
	"Mississippi"	"28"	"15 - 17 years"	"15-17"	"2016"	"2016"	"9th through 12th grade with no ""diploma"	"2"	705""
	"Mississippi"	"28"	"15 - 17 years"	"15-17"	"2016"	"2016"	"High school graduate or GED ""completed"	"3"	132""
	"Mississippi"	"28"	"15 - 17 years"	"15-17"	"2017"	"2017"	"8th grade or ""less"	"1"	48""
	"Mississippi"	"28"	"15 - 17 years"	"15-17"	"2017"	"2017"	"9th through 12th grade with no ""diploma"	"2"	644""
	"Mississippi"	"28"	"15 - 17 years"	"15-17"	"2017"	"2017"	"High school graduate or GED ""completed"	"3"	96""
	"Mississippi"	"28"	"15 - 17 years"	"15-17"	"2018"	"2018"	"8th grade or ""less"	"1"	44""
	"Mississippi"	"28"	"15 - 17 years"	"15-17"	"2018"	"2018"	"9th through 12th grade with no ""diploma"	"2"	545""
	"Mississippi"	"28"	"15 - 17 years"	"15-17"	"2018"	"2018"	"High school graduate or GED ""completed"	"3"	115""
	"Mississippi"	"28"	"15 - 17 years"	"15-17"	"2019"	"2019"	"8th grade or ""less"	"1"	46""
	"Mississippi"	"28"	"15 - 17 years"	"15-17"	"2019"	"2019"	"9th through 12th grade with no ""diploma"	"2"	578""
	"Mississippi"	"28"	"15 - 17 years"	"15-17"	"2019"	"2019"	"High school graduate or GED ""completed"	"3"	110""
	"Mississippi"	"28"	"15 - 17 years"	"15-17"	"2020"	"2020"	"8th grade or ""less"	"1"	56""
	"Mississippi"	"28"	"15 - 17 years"	"15-17"	"2020"	"2020"	"9th through 12th grade with no ""diploma"	"2"	522""
	"Mississippi"	"28"	"15 - 17 years"	"15-17"	"2020"	"2020"	"High school graduate or GED ""completed"	"3"	118""
	"Mississippi"	"28"	"15 - 17 years"	"15-17"	"2021"	"2021"	"8th grade or ""less"	"1"	43""
	"Mississippi"	"28"	"15 - 17 years"	"15-17"	"2021"	"2021"	"9th through 12th grade with no ""diploma"	"2"	541""
	"Mississippi"	"28"	"15 - 17 years"	"15-17"	"2021"	"2021"	"High school graduate or GED ""completed"	"3"	79""
	"Mississippi"	"28"	"15 - 17 years"	"15-17"	"2022"	"2022"	"8th grade or ""less"	"1"	49""
	"Mississippi"	"28"	"15 - 17 years"	"15-17"	"2022"	"2022"	"9th through 12th grade with no ""diploma"	"2"	528""
	"Mississippi"	"28"	"15 - 17 years"	"15-17"	"2022"	"2022"	"High school graduate or GED ""completed"	"3"	125""
	"Mississippi"	"28"	"15 - 17 years"	"15-17"	"2022"	"2022"	"Some college credit, but not a ""degree"	"4"	10""
	"Mississippi"	"28"	"18 - 19 years"	"18-19"	"2016"	"2016"	"8th grade or ""less"	"1"	50""
	"Mississippi"	"28"	"18 - 19 years"	"18-19"	"2016"	"2016"	"9th through 12th grade with no ""diploma"	"2"	674""
	"Mississippi"	"28"	"18 - 19 years"	"18-19"	"2016"	"2016"	"High school graduate or GED ""completed"	"3"	1156""
	"Mississippi"	"28"	"18 - 19 years"	"18-19"	"2016"	"2016"	"Some college credit, but not a ""degree"	"4"	511""
	"Mississippi"	"28"	"18 - 19 years"	"18-19"	"2016"	"2016"	"Associate degree (AA, ""AS)"	"5"	14""
	"Mississippi"	"28"	"18 - 19 years"	"18-19"	"2017"	"2017"	"8th grade or ""less"	"1"	51""
	"Mississippi"	"28"	"18 - 19 years"	"18-19"	"2017"	"2017"	"9th through 12th grade with no ""diploma"	"2"	634""
	"Mississippi"	"28"	"18 - 19 years"	"18-19"	"2017"	"2017"	"High school graduate or GED ""completed"	"3"	1159""
	"Mississippi"	"28"	"18 - 19 years"	"18-19"	"2017"	"2017"	"Some college credit, but not a ""degree"	"4"	470""
	"Mississippi"	"28"	"18 - 19 years"	"18-19"	"2017"	"2017"	"Associate degree (AA, ""AS)"	"5"	22""
	"Mississippi"	"28"	"18 - 19 years"	"18-19"	"2018"	"2018"	"8th grade or ""less"	"1"	49""
	"Mississippi"	"28"	"18 - 19 years"	"18-19"	"2018"	"2018"	"9th through 12th grade with no ""diploma"	"2"	567""
	"Mississippi"	"28"	"18 - 19 years"	"18-19"	"2018"	"2018"	"High school graduate or GED ""completed"	"3"	1060""
	"Mississippi"	"28"	"18 - 19 years"	"18-19"	"2018"	"2018"	"Some college credit, but not a ""degree"	"4"	395""
	"Mississippi"	"28"	"18 - 19 years"	"18-19"	"2018"	"2018"	"Associate degree (AA, ""AS)"	"5"	11""
	"Mississippi"	"28"	"18 - 19 years"	"18-19"	"2018"	"2018"	"Unknown or Not ""Stated"	"Unk"	11""
	"Mississippi"	"28"	"18 - 19 years"	"18-19"	"2019"	"2019"	"8th grade or ""less"	"1"	52""
	"Mississippi"	"28"	"18 - 19 years"	"18-19"	"2019"	"2019"	"9th through 12th grade with no ""diploma"	"2"	522""
	"Mississippi"	"28"	"18 - 19 years"	"18-19"	"2019"	"2019"	"High school graduate or GED ""completed"	"3"	1112""
	"Mississippi"	"28"	"18 - 19 years"	"18-19"	"2019"	"2019"	"Some college credit, but not a ""degree"	"4"	416""
	"Mississippi"	"28"	"18 - 19 years"	"18-19"	"2019"	"2019"	"Associate degree (AA, ""AS)"	"5"	25""
	"Mississippi"	"28"	"18 - 19 years"	"18-19"	"2020"	"2020"	"8th grade or ""less"	"1"	55""
	"Mississippi"	"28"	"18 - 19 years"	"18-19"	"2020"	"2020"	"9th through 12th grade with no ""diploma"	"2"	483""
	"Mississippi"	"28"	"18 - 19 years"	"18-19"	"2020"	"2020"	"High school graduate or GED ""completed"	"3"	1081""
	"Mississippi"	"28"	"18 - 19 years"	"18-19"	"2020"	"2020"	"Some college credit, but not a ""degree"	"4"	352""
	"Mississippi"	"28"	"18 - 19 years"	"18-19"	"2020"	"2020"	"Associate degree (AA, ""AS)"	"5"	30""
	"Mississippi"	"28"	"18 - 19 years"	"18-19"	"2021"	"2021"	"8th grade or ""less"	"1"	52""
	"Mississippi"	"28"	"18 - 19 years"	"18-19"	"2021"	"2021"	"9th through 12th grade with no ""diploma"	"2"	431""
	"Mississippi"	"28"	"18 - 19 years"	"18-19"	"2021"	"2021"	"High school graduate or GED ""completed"	"3"	1034""
	"Mississippi"	"28"	"18 - 19 years"	"18-19"	"2021"	"2021"	"Some college credit, but not a ""degree"	"4"	330""
	"Mississippi"	"28"	"18 - 19 years"	"18-19"	"2021"	"2021"	"Associate degree (AA, ""AS)"	"5"	25""
	"Mississippi"	"28"	"18 - 19 years"	"18-19"	"2022"	"2022"	"8th grade or ""less"	"1"	61""
	"Mississippi"	"28"	"18 - 19 years"	"18-19"	"2022"	"2022"	"9th through 12th grade with no ""diploma"	"2"	488""
	"Mississippi"	"28"	"18 - 19 years"	"18-19"	"2022"	"2022"	"High school graduate or GED ""completed"	"3"	1123""
	"Mississippi"	"28"	"18 - 19 years"	"18-19"	"2022"	"2022"	"Some college credit, but not a ""degree"	"4"	262""
	"Mississippi"	"28"	"18 - 19 years"	"18-19"	"2022"	"2022"	"Associate degree (AA, ""AS)"	"5"	33""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2016"	"2016"	"8th grade or ""less"	"1"	194""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2016"	"2016"	"9th through 12th grade with no ""diploma"	"2"	1392""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2016"	"2016"	"High school graduate or GED ""completed"	"3"	4505""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2016"	"2016"	"Some college credit, but not a ""degree"	"4"	3693""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2016"	"2016"	"Associate degree (AA, ""AS)"	"5"	1139""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2016"	"2016"	"Bachelor's degree (BA, AB, ""BS)"	"6"	495""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2016"	"2016"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	31""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2016"	"2016"	"Unknown or Not ""Stated"	"Unk"	20""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2017"	"2017"	"8th grade or ""less"	"1"	184""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2017"	"2017"	"9th through 12th grade with no ""diploma"	"2"	1306""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2017"	"2017"	"High school graduate or GED ""completed"	"3"	4428""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2017"	"2017"	"Some college credit, but not a ""degree"	"4"	3390""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2017"	"2017"	"Associate degree (AA, ""AS)"	"5"	1232""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2017"	"2017"	"Bachelor's degree (BA, AB, ""BS)"	"6"	492""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2017"	"2017"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	23""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2017"	"2017"	"Unknown or Not ""Stated"	"Unk"	20""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2018"	"2018"	"8th grade or ""less"	"1"	185""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2018"	"2018"	"9th through 12th grade with no ""diploma"	"2"	1186""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2018"	"2018"	"High school graduate or GED ""completed"	"3"	4435""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2018"	"2018"	"Some college credit, but not a ""degree"	"4"	3232""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2018"	"2018"	"Associate degree (AA, ""AS)"	"5"	1190""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2018"	"2018"	"Bachelor's degree (BA, AB, ""BS)"	"6"	497""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2018"	"2018"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	26""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2018"	"2018"	"Unknown or Not ""Stated"	"Unk"	24""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2019"	"2019"	"8th grade or ""less"	"1"	164""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2019"	"2019"	"9th through 12th grade with no ""diploma"	"2"	1176""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2019"	"2019"	"High school graduate or GED ""completed"	"3"	4361""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2019"	"2019"	"Some college credit, but not a ""degree"	"4"	2862""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2019"	"2019"	"Associate degree (AA, ""AS)"	"5"	1249""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2019"	"2019"	"Bachelor's degree (BA, AB, ""BS)"	"6"	548""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2019"	"2019"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	29""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2019"	"2019"	"Unknown or Not ""Stated"	"Unk"	29""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2020"	"2020"	"8th grade or ""less"	"1"	158""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2020"	"2020"	"9th through 12th grade with no ""diploma"	"2"	1064""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2020"	"2020"	"High school graduate or GED ""completed"	"3"	4200""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2020"	"2020"	"Some college credit, but not a ""degree"	"4"	2713""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2020"	"2020"	"Associate degree (AA, ""AS)"	"5"	1222""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2020"	"2020"	"Bachelor's degree (BA, AB, ""BS)"	"6"	529""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2020"	"2020"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	46""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2020"	"2020"	"Unknown or Not ""Stated"	"Unk"	22""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2021"	"2021"	"8th grade or ""less"	"1"	162""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2021"	"2021"	"9th through 12th grade with no ""diploma"	"2"	972""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2021"	"2021"	"High school graduate or GED ""completed"	"3"	4343""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2021"	"2021"	"Some college credit, but not a ""degree"	"4"	2425""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2021"	"2021"	"Associate degree (AA, ""AS)"	"5"	1133""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2021"	"2021"	"Bachelor's degree (BA, AB, ""BS)"	"6"	531""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2021"	"2021"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	45""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2021"	"2021"	"Unknown or Not ""Stated"	"Unk"	18""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2022"	"2022"	"8th grade or ""less"	"1"	196""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2022"	"2022"	"9th through 12th grade with no ""diploma"	"2"	916""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2022"	"2022"	"High school graduate or GED ""completed"	"3"	4415""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2022"	"2022"	"Some college credit, but not a ""degree"	"4"	2101""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2022"	"2022"	"Associate degree (AA, ""AS)"	"5"	1202""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2022"	"2022"	"Bachelor's degree (BA, AB, ""BS)"	"6"	541""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2022"	"2022"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	36""
	"Mississippi"	"28"	"20-24 years"	"20-24"	"2022"	"2022"	"Unknown or Not ""Stated"	"Unk"	16""
	"Mississippi"	"28"	"25-29 years"	"25-29"	"2016"	"2016"	"8th grade or ""less"	"1"	215""
	"Mississippi"	"28"	"25-29 years"	"25-29"	"2016"	"2016"	"9th through 12th grade with no ""diploma"	"2"	994""
	"Mississippi"	"28"	"25-29 years"	"25-29"	"2016"	"2016"	"High school graduate or GED ""completed"	"3"	2891""
